Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.911925601750547,0.911925601750547,0.8260393873085339,0.9327133479212254
precision,0.9065868263473054,0.9065868263473054,1.0,0.9106529209621993
recall,0.9011904761904762,0.9011904761904762,0.6214285714285714,0.9464285714285714
f1,0.9038805970149253,0.9038805970149253,0.7665198237885462,0.9281961471103326
sensitivity,0.9011904761904762,0.9011904761904762,0.6214285714285714,0.9464285714285714
specificity,0.9210526315789473,0.9210526315789473,1.0,0.9210526315789473
latency_ms,0.08988171750659234,0.0607977810782468,0.06911478105206979,0.23151317884415976
tamper_resistance,0.8797619047619047,0.8773809523809524,0.5988095238095238,0.9333333333333333
detection_rate,0.9011904761904762,0.9011904761904762,0.6214285714285714,0.9464285714285714
throughput_sps,11125.733105029456,16447.96869663712,14468.685059518868,4319.40853212999
true_positives,757,757,522,795
true_negatives,910,910,988,910
false_positives,78,78,0,78
false_negatives,83,83,318,45
