metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.872125,0.870145,0.824185,0.895405
avg_detection_time,9.96219515800476e-05,6.577479124069214e-05,6.729977250099183e-05,0.00022938944220542908
f1,0.8759609088924994,0.8737979192279469,0.7866801749607188,0.9007830545292425
false_negatives,9695,10091,35163,5039
false_positives,15880,15880,0,15880
precision,0.85044968686726,0.8498898751287941,1.0,0.8567317147986756
recall,0.90305,0.89909,0.64837,0.94961
sensitivity,0.90305,0.89909,0.64837,0.94961
specificity,0.8412,0.8412,1.0,0.8412
true_negatives,84120,84120,100000,84120
true_positives,90305,89909,64837,94961
